188, 'AURN Bristol Centre',"51.4572041156,-2.58564914143",104
203, 'Brislington Depot',"51.4417471802,-2.55995583224",101
206, 'Rupert Street',"51.4554331987,-2.59626237324",104
209, 'IKEA M32',"51.4752847609,-2.56207998299",102
213, 'Old Market',"51.4560189999,-2.58348949026",104
215, 'Parson Street School',"51.432675707,-2.60495665673",103
228, 'Temple Meads Station',"51.4488837041,-2.58447776241",104
270, 'Wells Road',"51.4278638883,-2.56374153315",103
271, 'Trailer Portway P&R',"51.4899934596,-2.68877856929",102
375, 'Newfoundland Road Police Station',"51.4606738207,-2.58225341824",104
395," ""Shiner's Garage""","51.4577930324,-2.56271419977",104
452, 'AURN St Pauls',"51.4628294172,-2.58454081635",104
447, 'Bath Road',"51.4425372726,-2.57137536073",103
459, 'Cheltenham Road \ Station Road',"51.4689385901,-2.5927241667",104
463, 'Fishponds Road',"51.4780449714,-2.53523027459",101
481, 'CREATE Centre Roof',"51.447213417,-2.62247405516",104
500, 'Temple Way',"51.4579497132,-2.5839890903",104
501, 'Colston Avenue',"51.4552693827,-2.59664882855",104
672, 'Marlborough Street',"51.4591419717,-2.59543271836",104
